"row_index","intID","AlertType","AlertState","DateCreated","DateClosed","CaseOpen","CaseClosed","CaseReported","CaseState","PEP","CusRiskCategory","Type","IndustryCode","PEP_clean","CusRiskCategory_clean","escalated_to_case","sar_filed","case_state_clean","days_to_alert_close","days_case_investig","days_close_to_report","year_created","yearmon_created","IndustryRiskScore","IndustrySegment","IndustrySegment_clean"
"12053",13859,"Awakening Account","Closed - Not Suspicious",2015-05-30,2015-06-01,NA,NA,NA,NA,NA,"Higher Risk","LC&FI","82990","Not applicable (LC&FI)","Higher Risk",FALSE,FALSE,"No case opened",2,NA,NA,2015,2015-05-01,NA,NA,"Other / not in high-risk industry list"
"2848",2848,"New Destinations with high turnover","Closed - Not Suspicious",2016-04-06,2016-04-07,NA,NA,NA,NA,"Y","Higher Risk","Private Banking",NA,"PEP","Higher Risk",FALSE,FALSE,"No case opened",1,NA,NA,2016,2016-04-01,NA,NA,"Not applicable (PB)"
"8194",38186,"Unusual behaviour","Closed - Not Suspicious",2021-09-28,2021-10-01,NA,NA,NA,NA,NA,"Medium Risk","Private Banking",NA,"Unknown / not recorded","Medium Risk",FALSE,FALSE,"No case opened",3,NA,NA,2021,2021-09-01,NA,NA,"Not applicable (PB)"
"4176",4176,"New Destinations with high turnover","Closed - Not Suspicious",2018-04-04,2018-04-09,NA,NA,NA,NA,"N","Higher Risk","Private Banking",NA,"Not PEP","Higher Risk",FALSE,FALSE,"No case opened",5,NA,NA,2018,2018-04-01,NA,NA,"Not applicable (PB)"
"11094",2903,"Check Countries List","Closed - Not Suspicious",2013-11-18,2013-11-19,NA,NA,NA,NA,NA,"Higher Risk","LC&FI",NA,"Not applicable (LC&FI)","Higher Risk",FALSE,FALSE,"No case opened",1,NA,NA,2013,2013-11-01,NA,NA,"Other / not in high-risk industry list"
"12542",14348,"Cash","Closed - Processed externally",2015-09-02,2015-09-02,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",0,NA,NA,2015,2015-09-01,NA,NA,"Other / not in high-risk industry list"
"12426",14232,"repayement of funds","Closed - Not Investigated",2015-09-02,2015-09-02,NA,NA,NA,NA,NA,"Medium Risk","LC&FI","32400","Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",0,NA,NA,2015,2015-09-01,NA,NA,"Other / not in high-risk industry list"
"10390",2121,"Check Countries List","Closed - Not Suspicious",2011-03-08,2011-03-31,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",23,NA,NA,2011,2011-03-01,NA,NA,"Other / not in high-risk industry list"
"9957",1688,"Awakening Account","Closed - Not Suspicious",2010-04-22,2010-04-22,NA,NA,NA,NA,NA,"Lower Risk","LC&FI","55101","Not applicable (LC&FI)","Lower Risk",FALSE,FALSE,"No case opened",0,NA,NA,2010,2010-04-01,NA,NA,"Other / not in high-risk industry list"
"10964",2773,"Cash","Closed - Not Suspicious",2013-10-17,2015-12-17,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",791,NA,NA,2013,2013-10-01,NA,NA,"Other / not in high-risk industry list"
"5441",5441,"Awakening Account","Closed - Not Suspicious",2020-01-16,2020-01-17,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",1,NA,NA,2020,2020-01-01,NA,NA,"Not applicable (PB)"
"9269",1000,"Unusual behaviour","Closed - Not Investigated",2009-09-04,2010-01-15,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",133,NA,NA,2009,2009-09-01,NA,NA,"Other / not in high-risk industry list"
"15081",16887,"Credit Cards","Closed - Not Suspicious",2016-10-06,2016-12-20,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",75,NA,NA,2016,2016-10-01,NA,NA,"Other / not in high-risk industry list"
"14694",16500,"Cash","Closed - Not Suspicious",2016-09-02,2016-09-12,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",10,NA,NA,2016,2016-09-01,NA,NA,"Other / not in high-risk industry list"
"12999",14805,"Cash","Closed - Not Investigated Data Quality",2015-10-19,NA,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",NA,NA,NA,2015,2015-10-01,NA,NA,"Other / not in high-risk industry list"
"13230",15036,"Credit Cards","Closed - Not Suspicious",2016-01-27,2016-02-09,NA,NA,NA,NA,NA,"Not Specified","LC&FI",NA,"Not applicable (LC&FI)","Not Specified",FALSE,FALSE,"No case opened",13,NA,NA,2016,2016-01-01,NA,NA,"Other / not in high-risk industry list"
"4557",4557,"New Destinations with high turnover","Closed - Not Suspicious",2018-10-28,2018-10-29,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",1,NA,NA,2018,2018-10-01,NA,NA,"Not applicable (PB)"
"12259",14065,"PEP Monitoring","Closed - Not Investigated",2015-08-30,2015-11-27,NA,NA,NA,NA,NA,"Not Specified","LC&FI","96090","Not applicable (LC&FI)","Not Specified",FALSE,FALSE,"No case opened",89,NA,NA,2015,2015-08-01,NA,NA,"Other / not in high-risk industry list"
"3698",3698,"New Destinations with high turnover","Closed - Not Suspicious",2017-08-22,2017-09-27,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",36,NA,NA,2017,2017-08-01,NA,NA,"Not applicable (PB)"
"17959",19800,"Check Countries List","Closed - Not Suspicious",2018-07-22,2018-07-24,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",2,NA,NA,2018,2018-07-01,NA,NA,"Other / not in high-risk industry list"
"8659",390,"Unusual behaviour","Closed - Not Suspicious",2009-08-21,2010-01-14,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",146,NA,NA,2009,2009-08-01,NA,NA,"Other / not in high-risk industry list"
"5244",5244,"Unusual behaviour","Closed - Not Suspicious",2019-11-21,2019-11-22,NA,NA,NA,NA,NA,"Medium Risk","Private Banking",NA,"Unknown / not recorded","Medium Risk",FALSE,FALSE,"No case opened",1,NA,NA,2019,2019-11-01,NA,NA,"Not applicable (PB)"
"13636",15442,"Credit Cards","Closed - Not Suspicious",2016-03-10,2016-05-10,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",61,NA,NA,2016,2016-03-01,NA,NA,"Other / not in high-risk industry list"
"17199",19020,"Check Countries List","Closed - Not Suspicious",2017-10-20,2017-10-20,NA,NA,NA,NA,NA,"Lower Risk","LC&FI","64190","Not applicable (LC&FI)","Lower Risk",FALSE,FALSE,"No case opened",0,NA,NA,2017,2017-10-01,NA,NA,"Other / not in high-risk industry list"
"1284",1284,"New Destinations with high turnover","Closed - Not Suspicious",2014-01-03,2014-01-06,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",3,NA,NA,2014,2014-01-01,NA,NA,"Not applicable (PB)"
"30",30,"Unusual behaviour","Closed - Not Suspicious",2009-09-25,2009-09-29,NA,NA,NA,NA,"N","Not Specified","Private Banking",NA,"Not PEP","Not Specified",FALSE,FALSE,"No case opened",4,NA,NA,2009,2009-09-01,NA,NA,"Not applicable (PB)"
"2655",2655,"New Destinations with high turnover","Closed - Not Suspicious",2016-01-06,2016-01-06,NA,NA,NA,NA,"N","Lower Risk","Private Banking",NA,"Not PEP","Lower Risk",FALSE,FALSE,"No case opened",0,NA,NA,2016,2016-01-01,NA,NA,"Not applicable (PB)"
"10214",1945,"Awakening Account","Closed - Not Suspicious",2010-10-29,2010-11-01,NA,NA,NA,NA,NA,"Not Specified","LC&FI","64190","Not applicable (LC&FI)","Not Specified",FALSE,FALSE,"No case opened",3,NA,NA,2010,2010-10-01,NA,NA,"Other / not in high-risk industry list"
"19441",111396,"Credit Cards","Closed - Not Suspicious",2019-10-03,2019-10-09,NA,NA,NA,NA,NA,"Higher Risk","LC&FI",NA,"Not applicable (LC&FI)","Higher Risk",FALSE,FALSE,"No case opened",6,NA,NA,2019,2019-10-01,NA,NA,"Other / not in high-risk industry list"
"17093",18913,"Close Monitoring","Closed - Not Suspicious",2017-09-17,2017-12-12,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",86,NA,NA,2017,2017-09-01,NA,NA,"Other / not in high-risk industry list"
"1994",1994,"New Destinations with high turnover","Closed - Not Suspicious",2015-01-23,2015-01-26,NA,NA,NA,NA,"N","Not Specified","Private Banking",NA,"Not PEP","Not Specified",FALSE,FALSE,"No case opened",3,NA,NA,2015,2015-01-01,NA,NA,"Not applicable (PB)"
"9522",1253,"Unusual behaviour","Closed - Not Suspicious",2009-09-26,2010-01-15,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",111,NA,NA,2009,2009-09-01,NA,NA,"Other / not in high-risk industry list"
"8488",219,"Unusual Cash Behaviour","Closed - Not Investigated",2009-05-30,2009-06-08,NA,NA,NA,NA,NA,"Lower Risk","LC&FI","64190","Not applicable (LC&FI)","Lower Risk",FALSE,FALSE,"No case opened",9,NA,NA,2009,2009-05-01,NA,NA,"Other / not in high-risk industry list"
"11667",3477,"Check Countries List","Closed - Not Suspicious",2014-10-23,2015-01-19,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",88,NA,NA,2014,2014-10-01,NA,NA,"Other / not in high-risk industry list"
"16893",18703,"Credit Cards","Closed - Not Suspicious",2017-07-19,2017-12-22,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",156,NA,NA,2017,2017-07-01,NA,NA,"Other / not in high-risk industry list"
"4615",4615,"New Destinations with high turnover","Closed - Not Suspicious",2018-12-08,2018-12-10,NA,NA,NA,NA,"N","Medium Risk","Private Banking",NA,"Not PEP","Medium Risk",FALSE,FALSE,"No case opened",2,NA,NA,2018,2018-12-01,NA,NA,"Not applicable (PB)"
"9787",1518,"Check Countries List","Closed - Not Suspicious",2010-01-17,2010-02-02,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",16,NA,NA,2010,2010-01-01,NA,NA,"Other / not in high-risk industry list"
"16094",17900,"Credit Cards","Closed - Not Suspicious",2017-03-04,2017-05-08,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",65,NA,NA,2017,2017-03-01,NA,NA,"Other / not in high-risk industry list"
"11012",2821,"Cash","Closed - Processed externally",2013-10-17,2014-01-24,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",99,NA,NA,2013,2013-10-01,NA,NA,"Other / not in high-risk industry list"
"13100",14906,"Close Monitoring","Closed - Not Suspicious",2015-12-02,2015-12-29,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",27,NA,NA,2015,2015-12-01,NA,NA,"Other / not in high-risk industry list"
"13149",14955,"Close Monitoring","Closed - Not Suspicious",2015-12-20,2015-12-29,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",9,NA,NA,2015,2015-12-01,NA,NA,"Other / not in high-risk industry list"
"9266",997,"Unusual behaviour","Closed - Not Suspicious",2009-09-04,2010-01-14,NA,NA,NA,NA,NA,"Medium Risk","LC&FI",NA,"Not applicable (LC&FI)","Medium Risk",FALSE,FALSE,"No case opened",132,NA,NA,2009,2009-09-01,NA,NA,"Other / not in high-risk industry list"
